mauReal,ratings,daily_ratings,reviews,daily_reviews,mes,dia,appId_encoded,category_encoded
3643110.0,223848.0,297.0,82172.0,46.0,1,1,46,1
3643040.0,224145.0,892.0,82218.0,58.0,1,2,46,1
1349262.0,277813.0,132.0,139907.0,19.0,1,1,44,1
1349317.0,277945.0,303.0,139926.0,14.0,1,2,44,1
1934660.0,197329.0,187.0,79637.0,25.0,1,1,131,1
1936143.0,197516.0,549.0,79662.0,21.0,1,2,131,1
19039746.0,3499378.0,766.0,952285.0,171.0,1,1,69,1
19042110.0,3500144.0,2950.0,952456.0,186.0,1,2,69,1
34421.0,8327.0,1.0,4351.0,1.0,1,1,125,1
34508.0,8328.0,0.0,4352.0,0.0,1,2,125,1
892322.0,180081.0,30.0,56227.0,10.0,1,1,19,1
891679.0,180111.0,170.0,56237.0,8.0,1,2,19,1
5876215.0,1036500.0,381.0,182229.0,86.0,1,1,41,1
5875561.0,1036881.0,918.0,182315.0,120.0,1,2,41,1
184014.0,15353.0,20.0,3296.0,18.0,1,1,144,1
184456.0,15373.0,115.0,3314.0,12.0,1,2,144,1
684357.0,145442.0,26.0,46032.0,4.0,1,1,58,1
683807.0,145468.0,122.0,46036.0,8.0,1,2,58,1
7033633.0,810247.0,622.0,316558.0,73.0,1,1,106,1
7032398.0,810869.0,2023.0,316631.0,66.0,1,2,106,1
531437.0,80077.0,72.0,20927.0,23.0,1,1,45,1
531648.0,80149.0,229.0,20950.0,40.0,1,2,45,1
43743.0,24353.0,6.0,9099.0,0.0,1,1,81,1
43477.0,24359.0,7.0,9099.0,3.0,1,2,81,1
6911370.0,61150.0,61.0,18158.0,50.0,1,1,27,1
6908766.0,61211.0,198.0,18208.0,75.0,1,2,27,1
15121.0,2440.0,0.0,312.0,0.0,1,1,161,3
15050.0,2440.0,0.0,312.0,0.0,1,2,161,3
169454.0,139163.0,40.0,14219.0,5.0,1,1,139,4
169592.0,139203.0,93.0,14224.0,4.0,1,2,139,4
1444325.0,1475082.0,-35.0,375742.0,-29.0,1,1,96,3
1417242.0,1475051.0,-34.0,375718.0,-28.0,1,2,96,3
12623649.0,1039113.0,699.0,318955.0,81.0,1,1,177,3
12680433.0,1039812.0,1044.0,319036.0,85.0,1,2,177,3
139100.0,43624.0,2.0,15366.0,3.0,1,1,187,3
139036.0,43626.0,3.0,15369.0,2.0,1,2,187,3
168893.0,1002.0,6.0,476.0,1.0,1,1,57,4
170688.0,1008.0,25.0,477.0,0.0,1,2,57,4
417049.0,45714.0,5.0,8850.0,5.0,1,1,128,3
417363.0,45719.0,19.0,8855.0,1.0,1,2,128,3
12843.0,1724.0,0.0,503.0,2.0,1,1,143,1
12899.0,1724.0,0.0,505.0,1.0,1,2,143,1
660867.0,41891.0,28.0,18151.0,37.0,1,1,154,1
660842.0,41919.0,153.0,18188.0,24.0,1,2,154,1
607572.0,91876.0,14.0,17555.0,8.0,1,1,94,3
619520.0,91890.0,51.0,17563.0,24.0,1,2,94,3
1960613.0,187616.0,9.0,70045.0,20.0,1,1,54,4
1952333.0,187625.0,36.0,70065.0,25.0,1,2,54,4
369293.0,2472.0,11.0,1567.0,8.0,1,1,163,3
369062.0,2483.0,9.0,1575.0,8.0,1,2,163,3
17535.0,12724.0,0.0,5829.0,0.0,1,1,87,3
17806.0,12724.0,0.0,5829.0,0.0,1,2,87,3
49430.0,1132.0,0.0,694.0,0.0,1,1,43,3
49577.0,1132.0,0.0,694.0,0.0,1,2,43,3
179370.0,7126.0,1.0,3949.0,3.0,1,1,95,1
179767.0,7127.0,6.0,3952.0,7.0,1,2,95,1
12119811.0,2617006.0,927.0,459476.0,166.0,1,1,75,1
12149691.0,2617933.0,2009.0,459642.0,183.0,1,2,75,1
79821.0,10012.0,6.0,1145.0,2.0,1,1,114,1
79563.0,10018.0,22.0,1147.0,2.0,1,2,114,1
